ich,I
auf die Nerven gehen,am Zaga gehen
arbeiten,hackln
Arbeit,Hackn
Apfelsaftschorle,Obi g´spritzt
Apfelsaft,Obi
bestimmtes Stück Rindfleisch,Scherzl
Abschiedsgruß,Pfiat di!
abgetretene Schuhe,Latschen
Abfalleimer,Mistkibel
2 Liter Wein,Doppler
10 Gramm,Deka
langweilen,fadisieren
beklagen,motschkern
